stock,count
A,1259
AAL,1259
AAP,1259
AAPL,1259
ABBV,1259
ABC,1259
ABT,1259
ACN,1259
ADBE,1259
ADI,1259
ADM,1259
ADP,1259
ADS,1259
ADSK,1259
AEE,1259
AEP,1259
AES,1259
AET,1259
AFL,1259
AGN,1259
AIG,1259
AIV,1259
AIZ,1259
AJG,1259
AKAM,1259
ALB,1259
ALGN,1259
ALK,1259
ALL,1259
ALLE,1063
ALXN,1259
AMAT,1259
AMD,1259
AME,1259
AMG,1259
AMGN,1259
AMP,1259
AMT,1259
AMZN,1259
ANDV,1259
ANSS,1259
ANTM,1259
AON,1259
AOS,1259
APA,1259
APC,1259
APD,1259
APH,1259
APTV,44
ARE,1259
ARNC,1259
ATVI,1259
AVB,1259
AVGO,1259
AVY,1259
AWK,1259
AXP,1259
AYI,1259
AZO,1259
BA,1259
BAC,1259
BAX,1259
BBT,1259
BBY,1259
BDX,1259
BEN,1259
BF.B,1259
BHF,143
BHGE,152
BIIB,1259
BK,1259
BLK,1259
BLL,1259
BMY,1257
BRK.B,1259
BSX,1259
BWA,1259
BXP,1259
C,1259
CA,1259
CAG,1259
CAH,1259
CAT,1259
CB,1259
CBG,1259
CBOE,1259
CBS,1259
CCI,1259
CCL,1259
CDNS,1259
CELG,1259
CERN,1259
CF,1259
CFG,850
CHD,1259
CHK,1259
CHRW,1259
CHTR,1259
CI,1259
CINF,1259
CL,1259
CLX,1259
CMA,1259
CMCSA,1259
CME,1259
CMG,1259
CMI,1259
CMS,1259
CNC,1259
CNP,1259
COF,1259
COG,1259
COL,1259
COO,1259
COP,1259
COST,1259
COTY,1173
CPB,1259
CRM,1259
CSCO,1259
CSRA,561
CSX,1259
CTAS,1259
CTL,1259
CTSH,1259
CTXS,1259
CVS,1259
CVX,1259
CXO,1259
D,1259
DAL,1259
DE,1259
DFS,1259
DG,1259
DGX,1259
DHI,1259
DHR,1243
DIS,1259
DISCA,1259
DISCK,1259
DISH,1259
DLR,1259
DLTR,1259
DOV,1259
DPS,1259
DRE,1259
DRI,1259
DTE,1259
DUK,1259
DVA,1259
DVN,1259
DWDP,109
DXC,215
EA,1259
EBAY,1259
ECL,1259
ED,1259
EFX,1259
EIX,1259
EL,1259
EMN,1259
EMR,1259
EOG,1259
EQIX,1259
EQR,1259
EQT,1259
ES,1249
ESRX,1259
ESS,1259
ETFC,1259
ETN,1259
ETR,1259
EVHC,297
EW,1259
EXC,1259
EXPD,1259
EXPE,1259
EXR,1259
F,1259
FAST,1259
FB,1259
FBHS,1259
FCX,1259
FDX,1259
FE,1259
FFIV,1259
FIS,1259
FISV,1259
FITB,1259
FL,1259
FLIR,1259
FLR,1259
FLS,1259
FMC,1259
FOX,1169
FOXA,1169
FRT,1259
FTI,1259
FTV,404
GD,1259
GE,1259
GGP,1259
GILD,1259
GIS,1259
GLW,1259
GM,1259
GOOG,975
GOOGL,1259
GPC,1259
GPN,1259
GPS,1259
GRMN,1259
GS,1259
GT,1259
GWW,1259
HAL,1259
HAS,1259
HBAN,1259
HBI,1259
HCA,1259
HCN,1259
HCP,1259
HD,1259
HES,1259
HIG,1259
HII,1259
HLT,276
HOG,1259
HOLX,1259
HON,1259
HP,1259
HPE,581
HPQ,581
HRB,1259
HRL,1259
HRS,1259
HSIC,1259
HST,1259
HSY,1259
HUM,1259
IBM,1259
ICE,1254
IDXX,1259
IFF,1259
ILMN,1259
INCY,1259
INFO,917
INTC,1259
INTU,1259
IP,1259
IPG,1259
IQV,1197
IR,1259
IRM,1259
